mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name
18.0,8,307.0,130.0,3504,12.0,70,1,chevrolet chevelle malibu
15.0,8,350.0,165.0,3693,11.5,70,1,buick skylark 320
18.0,8,318.0,150.0,3436,11.0,70,1,plymouth satellite
16.0,8,304.0,150.0,3433,12.0,70,1,amc rebel sst
17.0,8,302.0,140.0,3449,10.5,70,1,ford torino
15.0,8,429.0,198.0,4341,10.0,70,1,ford galaxie 500
14.0,8,454.0,220.0,4354,9.0,70,1,chevrolet impala
14.0,8,440.0,215.0,4312,8.5,70,1,plymouth fury iii
14.0,8,455.0,225.0,4425,10.0,70,1,pontiac catalina
15.0,8,390.0,190.0,3850,8.5,70,1,amc ambassador dpl
31.0,4,98.0,,2455,16.5,71,3,datsun 1200
35.0,4,72.0,69.0,1613,18.0,71,3,honda civic
27.0,4,97.0,88.0,2130,14.5,71,3,toyota corolla
26.0,4,97.0,46.0,1950,21.0,71,2,vw super beetle
25.0,4,98.0,80.0,2126,17.0,71,1,dodge colt
23.0,4,97.0,,2254,23.5,72,2,volkswagen type 3
20.0,4,140.0,90.0,2408,19.5,72,1,chevrolet vega
21.0,4,122.0,,2511,14.5,72,1,ford pinto
28.0,4,97.0,92.0,2288,17.0,72,3,datsun 510
